exercice,code_produit,sous-branche,date_survenance,log_règlement
2021,IN,Incendie,2019,21.841168091538652
2018,IN,Incendie,2017,21.812764287056634
2019,IN,Incendie,2017,21.683190089903295
2016,IN,Incendie,2015,21.658368709860873
2022,IN,Incendie,2021,21.444821591304255
2023,RG,Responsabilité Civile,2018,20.607649918742556
2023,IN,Incendie,2021,21.364066537134146
2023,IN,Incendie,2021,21.282881624881835
2015,IN,Incendie,2015,21.229747961898003
2016,IN,Incendie,2013,21.227868690375256
2015,RG,Responsabilité Civile,2013,19.321801909548952
2017,IN,Incendie,2015,21.20646298519087
2022,PE,Incendie,2006,21.124452674679887
2022,PE,Incendie,2006,21.01623870559452
2021,IN,Incendie,2021,20.82985750442572
2017,IN,Incendie,2017,20.805372291505577
2015,IN,Incendie,2009,20.68257511432004
2015,IN,Incendie,2014,20.633608131221035
2017,IN,Incendie,2015,20.524187312502576
2020,IN,Incendie,2019,20.36666965332029
2020,IN,Incendie,2011,20.23390424805478
2023,RG,Responsabilité Civile,2022,18.52745102342605
2023,RG,Responsabilité Civile,2019,18.496661954007063
2020,RG,Responsabilité Civile,2014,17.471043636608524
2023,IN,Incendie,2021,20.21244021318042
2020,IN,Incendie,2019,20.15991242603242
2023,IN,Incendie,2021,20.08838756451044
2017,IN,Incendie,2016,20.060689924552143
2014,IN,Incendie,2011,19.829674855621764
2019,IN,Incendie,2017,19.639437515227932
2016,RG,Responsabilité Civile,2013,17.375294106407377
2021,IN,Incendie,2018,19.56330991803725
2019,IN,Incendie,2018,19.50155242789374
2015,IN,Incendie,2014,19.496392911571824
2023,IM,Incendie,2022,19.338481376951886
2021,IN,Incendie,2019,19.290887044484347
2023,IN,Incendie,2022,19.204748571671736
2016,IN,Incendie,2014,19.199258651841536
2021,IN,Incendie,2015,19.15953330577043
2021,IN,Incendie,2014,19.149186025113732
2022,IN,Incendie,2022,19.11382792451231
2017,IN,Incendie,2014,18.98276681639249
2017,IN,Incendie,2013,18.976246741344838
2020,IN,Incendie,2018,18.94965794012617
2017,PE,Incendie,2015,18.917237871863033
2021,IN,Incendie,2019,18.915448533777635
2020,IN,Incendie,2016,18.912105115884266
2023,IN,Incendie,2019,18.894612418504387
2019,IN,Incendie,2017,18.871020259397234
2022,IN,Incendie,2020,18.85811705706866
2019,IN,Incendie,2008,18.806860871258284
2020,IN,Incendie,2018,18.796241479011606
2014,IN,Incendie,2012,18.789501346544867
2014,IN,Incendie,2014,18.72756206611644
2020,IN,Incendie,2018,18.72092829751661
2017,IN,Incendie,2014,18.706573641334575
2018,IN,Incendie,2008,18.694904123011742
2020,IN,Incendie,2018,18.664698810787222
2016,IN,Incendie,2012,18.627023788589355
2023,RG,Responsabilité Civile,2019,16.998993973069602
2018,IN,Incendie,2015,18.61697239152813
2016,IN,Incendie,2012,18.60597258599491
2023,RG,Responsabilité Civile,2020,16.951135200170157
2019,IN,Incendie,2018,18.590538279886616
2022,IN,Incendie,2019,18.552837527672317
2016,RG,Responsabilité Civile,2006,16.842149656807177
2017,IN,Incendie,2014,18.46061495116206
2019,IN,Incendie,2015,18.440459351352228
2023,IN,Incendie,2022,18.42637208868108
2014,PE,Incendie,2012,18.420680743952367
2018,IN,Incendie,2015,18.352132630974257
2018,IN,Incendie,2015,18.348961098873634
2015,IN,Incendie,2005,18.337382762386014
2023,IN,Incendie,2018,18.30478506191063
2023,IN,Incendie,2019,18.26775241107126
2021,IN,Incendie,2020,18.259466403108632
2020,IN,Incendie,2017,18.257426984886404
2022,IN,Incendie,2020,18.2392692749029
2023,IN,Incendie,2018,18.22858675208085
2022,IN,Incendie,2020,18.20621230765506
2023,IN,Incendie,2022,18.205571420373307
2020,IN,Incendie,2017,18.132998671500584
2014,IN,Incendie,2011,18.104680095764106
2021,IN,Incendie,2017,18.03325544175395
2023,IN,Incendie,2018,18.023778153833405
2016,IN,Incendie,2014,17.959022828632552
2022,IN,Incendie,2016,17.887758484293347
2023,IM,Incendie,2019,17.876032986563892
2018,IN,Incendie,2013,17.864037903102144
2017,IN,Incendie,2015,17.849579057407848
2020,IN,Incendie,2017,17.844204316692068
2022,IM,Incendie,2019,17.838899375308994
2022,IN,Incendie,2021,17.833812462067435
2021,IN,Incendie,2020,17.808704441826556
2019,IN,Incendie,2013,17.80686830636423
2014,IN,Incendie,2011,17.798639923355005
2017,IN,Incendie,2014,17.782340904180348
2022,IN,Incendie,2014,17.720671638946722
2017,IN,Incendie,2015,17.712899893222115
2023,IN,Incendie,2022,17.691388116756066
2017,IN,Incendie,2014,17.653523709440336
2023,IM,Incendie,2022,17.64254624534004
2018,IN,Incendie,2016,17.639137564474304
2019,IN,Incendie,2017,17.601018316864888
2020,IN,Incendie,2018,17.566845397729256
2016,IN,Incendie,2013,17.549520140528614
2019,IN,Incendie,2017,17.54533549537341
2022,IN,Incendie,2018,17.508623538047683
2023,IN,Incendie,2021,17.483103661964517
2017,IN,Incendie,2015,17.47426785010687
2021,IN,Incendie,2016,17.472739001379136
2019,IN,Incendie,2014,17.466865671710668
2020,IN,Incendie,2008,17.418868134233755
2017,IN,Incendie,2011,17.394608814031017
2015,IN,Incendie,2011,17.385675454002005
2023,IM,Incendie,2019,17.374796537381464
2017,IN,Incendie,2012,17.314556806357636
2019,IN,Incendie,2019,17.27727364990369
2017,IN,Incendie,2012,17.242180044756303
2017,IN,Incendie,2014,17.24148802351303
2018,IN,Incendie,2017,17.24062520553437
2020,IN,Incendie,2019,17.233686373489686
2014,IN,Incendie,2010,17.22086459973269
2018,IN,Incendie,2017,17.216707939626428
2016,IN,Incendie,2016,17.216707939626428
2019,IN,Incendie,2016,17.207990148873545
2019,IN,Incendie,2003,17.184020848470805
2016,IN,Incendie,2015,17.176716655526267
2015,IN,Incendie,2012,17.169122341126386
2022,IN,Incendie,2022,17.168953806591354
2021,IN,Incendie,2019,17.153508965339675
2022,IN,Incendie,2022,17.15153640110896
2019,IN,Incendie,2014,17.139292264279828
2018,RG,Responsabilité Civile,2016,16.84083444147406
2015,IN,Incendie,2012,17.06951693999809
2023,IN,Incendie,2021,17.02842466867731
2019,RG,Responsabilité Civile,2016,16.730149248702148
2023,RG,Responsabilité Civile,2020,16.727447767553247
2020,RG,Responsabilité Civile,2013,16.70588231586044
2020,RG,Responsabilité Civile,2012,16.54100465903883
2021,RG,Responsabilité Civile,2016,16.493227855632576
2021,IN,Incendie,2011,17.014183675514957
2019,IN,Incendie,2017,16.98554834593716
2020,IN,Incendie,2017,16.98354825094802
2017,IN,Incendie,2015,16.98201287364399
2015,RG,Responsabilité Civile,2009,16.482301438377522
2015,IN,Incendie,2015,16.97484907003129
2023,RG,Responsabilité Civile,2014,16.397035269784435
2023,RG,Responsabilité Civile,2014,16.39315122436861
2017,RG,Responsabilité Civile,2014,16.34312452393624
2023,RG,Responsabilité Civile,2022,16.300417207752275
2017,RG,Responsabilité Civile,2009,16.256116948855695
2022,RG,Responsabilité Civile,2017,16.22813285384685
2017,RG,Responsabilité Civile,2013,16.144582555283087
2023,RG,Responsabilité Civile,2022,16.114849252103287
2016,RG,Responsabilité Civile,2013,16.108180011083412
2016,RG,Responsabilité Civile,2012,16.107784675080552
2023,RG,Responsabilité Civile,2020,16.076550791067167
2020,IN,Incendie,2018,16.917341278587724
2014,IN,Incendie,2013,16.897807249303177
2022,IN,Incendie,2019,16.882548764015826
2018,IN,Incendie,2016,16.876913289898084
2020,IN,Incendie,2019,16.873803072931477
2020,IN,Incendie,2020,16.825268815404673
2018,IN,Incendie,2017,16.807627840805775
2017,IN,Incendie,2012,16.79972677555702
2021,IN,Incendie,2020,16.789339346044127
2022,IN,Incendie,2022,16.778540136616193
2017,IN,Incendie,2013,16.75898724164131
2017,RG,Responsabilité Civile,2017,15.968027883024238
2014,IN,Incendie,2008,16.752886759595636
2020,IN,Incendie,2017,16.752606901099846
2021,RG,Responsabilité Civile,2018,15.954846801015773
2020,IN,Incendie,2019,16.739544357115047
2019,IN,Incendie,2016,16.728027191957707
2019,IN,Incendie,2017,16.697157238388797
2015,IN,Incendie,2013,16.696658259755907
2014,IN,Incendie,2011,16.659298108112367
2017,IN,Incendie,2010,16.64890991413093
2023,IN,Incendie,2021,16.62574836837653
2020,RG,Responsabilité Civile,2015,15.931766072766827
2020,RG,Responsabilité Civile,2018,15.924355550013352
2017,RG,Responsabilité Civile,2014,15.917754145751555
2023,RG,Responsabilité Civile,2020,15.895928497812239
2021,RG,Responsabilité Civile,2018,15.86036065487449
2016,IN,Incendie,2015,16.608745579695018
2014,RG,Responsabilité Civile,2012,15.830413578506539
2023,RG,Responsabilité Civile,2022,15.801627420178795
2021,RG,Responsabilité Civile,2016,15.77978169902013
2018,RG,Responsabilité Civile,2014,15.749204969211547
2016,RG,Responsabilité Civile,2010,15.743201599579503
2023,RG,Responsabilité Civile,2004,15.736652198692065
2023,RG,Responsabilité Civile,2018,15.731984540115166
2021,RG,Responsabilité Civile,2021,15.73135243930826
2020,IN,Incendie,2016,16.596544745403794
2014,RG,Responsabilité Civile,2014,15.729762769563074
2018,RG,Responsabilité Civile,2016,15.698442872139305
2023,IN,Incendie,2020,16.574968987082247
2018,IN,Incendie,2016,16.571563605128368
2016,IN,Incendie,2016,16.523560759066484
2015,IN,Incendie,2012,16.510897375812704
2020,IN,Incendie,2019,16.49197376810667
2022,RG,Responsabilité Civile,2021,15.698038088997105
2019,IN,Incendie,2016,16.474103124087964
2020,RG,Responsabilité Civile,2016,15.661286984041475
2014,IN,Incendie,2013,16.47314521267876
2020,IN,Incendie,2019,16.4621958633149
2021,IN,Incendie,2019,16.454567887579532
2015,IN,Incendie,2014,16.443879944457308
2023,IN,Incendie,2016,16.43349710023678
2014,IN,Incendie,2008,16.43082486826843
2018,IN,Incendie,2015,16.42576048154057
2020,IN,Incendie,2015,16.422819189264953
2014,IN,Incendie,2010,16.417628821659825
2022,IN,Incendie,2019,16.356210494303898
2017,RG,Responsabilité Civile,2016,15.634724769555099
2019,RG,Responsabilité Civile,2016,15.60727002719233
2021,RG,Responsabilité Civile,2021,15.58195221920804
2019,RG,Responsabilité Civile,2014,15.561923925425452
2018,RG,Responsabilité Civile,2016,15.540077780036508
2015,RG,Responsabilité Civile,2012,15.538277155705378
2020,RG,Responsabilité Civile,2013,15.521530568244618
2022,RG,Responsabilité Civile,2019,15.513140466849164
2022,RG,Responsabilité Civile,2019,15.501436688660272
2021,RG,Responsabilité Civile,2013,15.49260711887219
2017,RG,Responsabilité Civile,2017,15.488786746421551
2018,RG,Responsabilité Civile,2014,15.485388604609783
2023,RG,Responsabilité Civile,2021,15.48096200689407
2021,RG,Responsabilité Civile,2012,15.4633280606762
2023,RG,Responsabilité Civile,2019,15.461106806951653
2021,RG,Responsabilité Civile,2019,15.460104395019261
2021,RG,Responsabilité Civile,2018,15.460060755507113
2019,RG,Responsabilité Civile,2012,15.460037197102833
2014,RG,Responsabilité Civile,2009,15.456241467084238
2019,RG,Responsabilité Civile,2008,15.424948470398375
2022,RG,Responsabilité Civile,2018,15.424948470398375
2020,RG,Responsabilité Civile,2018,15.423055159215357
2015,IN,Incendie,2014,16.327952662626476
2018,IN,Incendie,2017,16.31549435419652
2022,RG,Responsabilité Civile,2020,15.414393522401094
2019,PE,Incendie,2017,16.284898326251568
2023,RG,Responsabilité Civile,2022,15.389420077513154
2020,RG,Responsabilité Civile,2018,15.379306093145273
2020,IN,Incendie,2011,16.277767958218764
2020,IN,Incendie,2019,16.26285973997256
2022,IN,Incendie,2018,16.247762048728607
2017,IN,Incendie,2014,16.24110480309178
2021,IM,Incendie,2020,16.2350211537051
2023,IN,Incendie,2021,16.229800035660194
2021,RG,Responsabilité Civile,2014,15.319587954740548
2022,IN,Incendie,2019,16.20788559315787
2021,IN,Incendie,2016,16.207378063859267
2018,RG,Responsabilité Civile,2014,15.311912798158849
2022,RG,Responsabilité Civile,2018,15.299457945460734
2020,IN,Incendie,2017,16.204992426214755
2022,RG,Responsabilité Civile,2018,15.299387288237273
2019,PE,Incendie,2017,16.20432719896035
2017,IN,Incendie,2013,16.201261844697182
2019,RG,Responsabilité Civile,2017,15.285686407662569
2015,IN,Incendie,2014,16.192011476795976
2015,IN,Incendie,2015,16.188173668527902
2022,RG,Responsabilité Civile,2019,15.278874553860827
2023,IN,Incendie,2020,16.180300068945275
2021,RG,Responsabilité Civile,2018,15.275609270149669
2022,IN,Incendie,2022,16.145160102172834
2015,IN,Incendie,2012,16.142526460500775
2014,IN,Incendie,2013,16.130148662697106
2015,IN,Incendie,2015,16.124178436251952
2014,IN,Incendie,2007,16.11809565095832
2018,IN,Incendie,2016,16.11809565095832
2017,IN,Incendie,2014,16.11687845347393
2022,IN,Incendie,2020,16.11239689183198
2017,IM,Incendie,2017,16.110129807706436
2018,IN,Incendie,2018,16.105279878646208
2014,IN,Incendie,2006,16.10298201314827
2015,IN,Incendie,2005,16.10298201314827
2023,IN,Incendie,2005,16.10298201314827
2019,IN,Incendie,2005,16.10298201314827
2016,IN,Incendie,2006,16.10298201314827
2015,IN,Incendie,2007,16.10298201314827
2023,IN,Incendie,2005,16.10298201314827
2014,IN,Incendie,2007,16.10298201314827
2023,IN,Incendie,2006,16.10298201314827
2017,IN,Incendie,2017,16.102773205562684
2021,IN,Incendie,2016,16.099464755656005
2020,IN,Incendie,2018,16.099056169891966
2019,IN,Incendie,2019,16.097761596239597
2019,IN,Incendie,2018,16.097654318233246
2022,PE,Incendie,2019,16.093010021146796
2018,IM,Incendie,2018,16.081514161109272
2015,IN,Incendie,2015,16.081484812477363
2022,IN,Incendie,2019,16.07994196936433
2017,IN,Incendie,2013,16.07223938594462
2021,IN,Incendie,2018,16.07210204103334
2014,IN,Incendie,2013,16.06680235657077
2020,IN,Incendie,2012,16.06680235657077
2020,IM,Incendie,2020,16.065600401880975
2019,IN,Incendie,2016,16.06311839595515
2022,IN,Incendie,2021,16.059232832504513
2022,IN,Incendie,2018,16.059133129400152
2015,IN,Incendie,2014,16.058104203394752
2018,IN,Incendie,2018,16.058022833307458
2023,IN,Incendie,2008,16.052456310808434
2020,IN,Incendie,2018,16.051263898641626
2020,IN,Incendie,2018,16.050755583552167
2017,IN,Incendie,2014,16.047983979562375
2023,IM,Incendie,2023,16.04731385494248
2018,IM,Incendie,2018,16.02620467899485
2019,IN,Incendie,2018,16.02378497148708
2018,IN,Incendie,2018,16.022679791770127
2021,IN,Incendie,2020,16.008174241329115
2021,IN,Incendie,2020,16.00384418882371
2020,IN,Incendie,2018,16.003142185290294
2018,IN,Incendie,2016,16.00277578857335
2014,IN,Incendie,2013,16.00052222933138
2021,RG,Responsabilité Civile,2018,15.258048901069827
2022,RG,Responsabilité Civile,2020,15.248274392532732
2017,IN,Incendie,2017,15.995440607824085
2023,RG,Responsabilité Civile,2020,15.245941826006204
2018,RG,Responsabilité Civile,2015,15.24209357140275
2018,RG,Responsabilité Civile,2015,15.221607546380344
2023,IM,Incendie,2022,15.983710886315452
2016,IN,Incendie,2016,15.971128103552466
2020,IN,Incendie,2011,15.968732741445383
2021,IN,Incendie,2020,15.966796096474352
2014,IN,Incendie,2013,15.96310400611909
2022,IN,Incendie,2014,15.962591946539307
2022,IM,Incendie,2022,15.958708942694702
2022,IM,Incendie,2021,15.957417867862777
2020,IN,Incendie,2020,15.956517455302265
2016,IN,Incendie,2015,15.955471068820678
2018,RG,Responsabilité Civile,2016,15.216481686480229
2016,IM,Incendie,2015,15.954847043545648
2022,RG,Responsabilité Civile,2021,15.204301801776518
2016,IN,Incendie,2015,15.953773154835137
2018,IN,Incendie,2018,15.948584630134247
2016,IN,Incendie,2015,15.946008741031548
2023,IM,Incendie,2022,15.931766072766827
2022,IM,Incendie,2021,15.929272382972789
2019,IN,Incendie,2016,15.926959443022797
2020,IN,Incendie,2020,15.925765667735682
2021,IM,Incendie,2020,15.922444316512017
2015,IN,Incendie,2012,15.918852935447319
2016,IN,Incendie,2014,15.913896515645048
2014,IN,Incendie,2010,15.913779199797789
2016,IN,Incendie,2014,15.91006126786292
2017,IN,Incendie,2016,15.908041793329096
2018,IM,Incendie,2018,15.900703155573968
2021,IM,Incendie,2020,15.880420288732854
2017,RG,Responsabilité Civile,2011,15.199935790851825
2019,IN,Incendie,2019,15.877212604850687
2017,RG,Responsabilité Civile,2016,15.194466055380458
2019,IN,Incendie,2019,15.87589669310895
2014,IN,Incendie,2013,15.875069171548908
2023,IM,Incendie,2021,15.87092062423563
2021,IN,Incendie,2019,15.866410832662929
2022,RG,Responsabilité Civile,2020,15.185421439833641
2019,IN,Incendie,2018,15.863654912286341
2016,RG,Responsabilité Civile,2015,15.1754181656222
2018,RG,Responsabilité Civile,2012,15.168459550640945
2018,IN,Incendie,2002,15.85787667950335
2016,IN,Incendie,2015,15.855999918432898
2019,IM,Incendie,2018,15.84986738680251
2015,IN,Incendie,2014,15.845867638986215
2020,IN,Incendie,2018,15.84491409731087
2020,IN,Incendie,2019,15.843924394984485
2023,IM,Incendie,2023,15.843533797443408
2020,IN,Incendie,2016,15.843063826976291
2021,IN,Incendie,2018,15.834755504023892
2018,IN,Incendie,2018,15.832544639515493
2014,IN,Incendie,2014,15.830464287887462
2020,IM,Incendie,2018,15.830413578506539
2016,RG,Responsabilité Civile,2014,15.159027889728106
2017,IN,Incendie,2016,15.830093527295613
2022,RG,Responsabilité Civile,2020,15.15361207648268
2016,RG,Responsabilité Civile,2015,15.151607513464787
2019,IN,Incendie,2011,15.830062183441191
2015,RG,Responsabilité Civile,2013,15.150511622065036
2017,RG,Responsabilité Civile,2014,15.147101345245645
2017,RG,Responsabilité Civile,2015,15.143910940665263
2019,RG,Responsabilité Civile,2014,15.143355355893044
2020,IM,Incendie,2019,15.81633920825425
2021,RG,Responsabilité Civile,2021,15.131355630393513
2019,RG,Responsabilité Civile,2014,15.13009324965617
2020,RG,Responsabilité Civile,2019,15.11256882561059
2020,RG,Responsabilité Civile,2017,15.098198419795395
2023,RG,Responsabilité Civile,2021,15.0965496756628
2021,RG,Responsabilité Civile,2018,15.091882458003102
2017,RG,Responsabilité Civile,2012,15.084478091848894
2021,RG,Responsabilité Civile,2017,15.082665463906622
2020,RG,Responsabilité Civile,2018,15.071404904288896
2020,RG,Responsabilité Civile,2017,15.068702006077709
2020,RG,Responsabilité Civile,2018,15.067211019341674
2020,RG,Responsabilité Civile,2007,15.057376945195589
2021,RG,Responsabilité Civile,2020,15.056779147033907
2021,RG,Responsabilité Civile,2019,15.054188971724797
2020,RG,Responsabilité Civile,2018,15.047713204185108
2022,RG,Responsabilité Civile,2021,15.047671322444321
2015,RG,Responsabilité Civile,2011,15.016448662242452
2023,IN,Incendie,2022,15.806305322479941
2023,RG,Responsabilité Civile,2021,15.001000603584142
2020,RG,Responsabilité Civile,2018,14.991083887768513
2020,RG,Responsabilité Civile,2019,14.989551850601128
2018,RG,Responsabilité Civile,2013,14.988837459028414
2017,RG,Responsabilité Civile,2016,14.984730413796337
2014,RG,Responsabilité Civile,2010,14.981220590164877
2018,RG,Responsabilité Civile,2006,14.969809782824367
2016,RG,Responsabilité Civile,2013,14.969547462015765
2023,RG,Responsabilité Civile,2016,14.968196488934677
2019,RG,Responsabilité Civile,2012,14.968184804730914
2016,RG,Responsabilité Civile,2013,14.96282180346795
2020,RG,Responsabilité Civile,2018,14.96140075681082
2018,RG,Responsabilité Civile,2014,14.959535886158879
2014,RG,Responsabilité Civile,2011,14.958522433929069
2019,RG,Responsabilité Civile,2017,14.940464829970002
2021,RG,Responsabilité Civile,2019,14.936566427981875
2021,RG,Responsabilité Civile,2019,14.932290150587832
2022,RG,Responsabilité Civile,2022,14.930652148583594
2014,RG,Responsabilité Civile,2013,14.930652148583594
2023,IN,Incendie,2022,15.806120885937494
2018,RG,Responsabilité Civile,2015,14.9274262920824
2020,RG,Responsabilité Civile,2017,14.914622721674036
2023,RG,Responsabilité Civile,2018,14.914248758705126
2015,RG,Responsabilité Civile,2013,14.914122846632385
2016,RG,Responsabilité Civile,2010,14.914122846632385
2023,RG,Responsabilité Civile,2017,14.914122846632385
2022,RG,Responsabilité Civile,2019,14.914122846632385
2019,RG,Responsabilité Civile,2016,14.914122846632385
2015,IN,Incendie,2013,15.769157286645248
2016,RG,Responsabilité Civile,2014,14.906358784151921
2020,IN,Incendie,2016,15.764404011110777
2021,IN,Incendie,2017,15.762979184819073
2022,RG,Responsabilité Civile,2021,14.897315728316002
2020,RG,Responsabilité Civile,2018,14.895002546498072
2023,IN,Incendie,2018,15.762335174481022
2017,IN,Incendie,2016,15.761420707019587
2022,IM,Incendie,2021,15.758989181828172
2021,RG,Responsabilité Civile,2021,14.893920139314865
2022,IM,Incendie,2021,15.755626636622978
2021,IN,Incendie,2017,15.754252217540975
2021,IN,Incendie,2012,15.752814349772018
2018,IN,Incendie,2016,15.751929300073304
2014,RG,Responsabilité Civile,2013,14.887094174244465
2017,IN,Incendie,2017,15.749517284409523
2022,IM,Incendie,2018,15.748709973973783
2020,IN,Incendie,2019,15.747793446237191
2017,IN,Incendie,2016,15.744914822746562
2016,IN,Incendie,2015,15.74404926485354
2020,RG,Responsabilité Civile,2016,14.874680455577039
2016,IN,Incendie,2013,15.741529541546877
2020,RG,Responsabilité Civile,2019,14.874171226698474
2023,RG,Responsabilité Civile,2019,14.872214960662024
2019,RG,Responsabilité Civile,2016,14.860729805459034
2020,IN,Incendie,2012,15.740911535837194
2022,IN,Incendie,2021,15.736835231546973
2020,IN,Incendie,2018,15.736017840472865
2015,RG,Responsabilité Civile,2015,14.839802595538826
2020,IM,Incendie,2018,15.73371962025562
2020,IN,Incendie,2020,15.732056628675258
2022,IM,Incendie,2019,15.723867174776142
2023,RG,Responsabilité Civile,2018,14.83520650714574
2017,IN,Incendie,2015,15.722091508439117
2023,IN,Incendie,2019,15.720762389579699
2015,IN,Incendie,2014,15.713890099275812
2022,IM,Incendie,2020,15.711506034827936
2019,RG,Responsabilité Civile,2016,14.829290911115686
2022,IN,Incendie,2015,15.708801028109717
2017,RG,Responsabilité Civile,2015,14.808021315749839
2020,IN,Incendie,2020,15.702623860589277
2022,IN,Incendie,2021,15.701017793124135
2015,RG,Responsabilité Civile,2012,14.797007587963309
2020,RG,Responsabilité Civile,2018,14.796322310822873
2023,IN,Incendie,2005,15.690890327642295
2021,IN,Incendie,2019,15.686408692496526
2017,IN,Incendie,2016,15.684459545312023
2022,IN,Incendie,2022,15.678176228429294
2022,IN,Incendie,2019,15.673946105875096
2018,IN,Incendie,2017,15.669797660662342
2022,IN,Incendie,2021,15.668658749166733
2020,IN,Incendie,2017,15.668428525294985
2022,RG,Responsabilité Civile,2020,14.793385451149565
2021,RG,Responsabilité Civile,2020,14.790070197962406
2015,RG,Responsabilité Civile,2013,14.786381243638912
2020,IN,Incendie,2016,15.666158535777118
2017,IN,Incendie,2016,15.661734537953736
2021,RG,Responsabilité Civile,2019,14.786220154538064
2021,IM,Incendie,2019,15.661523723180377
2021,IN,Incendie,2017,15.65923048605949
2021,IM,Incendie,2021,15.65148578597443
2016,IN,Incendie,2016,15.647915910205864
2017,IN,Incendie,2016,15.64369128867577
2022,IM,Incendie,2019,15.640345454387798
2016,IN,Incendie,2015,15.628460579763358
2020,IN,Incendie,2019,15.624882349023112
2021,IN,Incendie,2018,15.612971494560497
2020,IN,Incendie,2020,15.611818195244394
2023,IN,Incendie,2022,15.604555011537267
2020,IM,Incendie,2019,15.59631727586693
2018,IN,Incendie,2018,15.594639474869048
2019,RG,Responsabilité Civile,2018,14.774860779298876
2016,IN,Incendie,2015,15.59223770418105
